Prompt,Demographic,Kappa
"""A Cowboy Who Rode the Waves""",gender,0.04286527835495835
"""A Cowboy Who Rode the Waves""",race_ethnicity,0.0
"""A Cowboy Who Rode the Waves""",ell_status,0.0
"""A Cowboy Who Rode the Waves""",economically_disadvantaged,0.08926762409868294
"""A Cowboy Who Rode the Waves""",student_disability_status,0.0
The Face on Mars,gender,0.09762384451291783
The Face on Mars,race_ethnicity,-0.003653545650718071
The Face on Mars,ell_status,0.0
The Face on Mars,economically_disadvantaged,0.14955850508813062
The Face on Mars,student_disability_status,0.0
Exploring Venus,gender,0.09895016721089223
Exploring Venus,race_ethnicity,0.023925298171607157
Exploring Venus,ell_status,0.16746351633078527
Exploring Venus,economically_disadvantaged,0.023520364485845713
Exploring Venus,student_disability_status,0.01115524361638498
Facial action coding system,gender,0.07912023987121797
Facial action coding system,race_ethnicity,0.02249758755147202
Facial action coding system,ell_status,0.0
Facial action coding system,economically_disadvantaged,0.15186576194508294
Facial action coding system,student_disability_status,-0.006777617420851811
Driverless cars,gender,0.11251514982219268
Driverless cars,race_ethnicity,0.016883720930232493
Driverless cars,ell_status,0.0
Driverless cars,economically_disadvantaged,0.1419154630100058
Driverless cars,student_disability_status,0.0
