Prompt,Ours QWK,Ref QWK,QWK Δ,Ours Acc,Ref Acc,Acc Δ,Ours Gender SMD,Ref Gender SMD,N (ours),N (ref)
"""A Cowboy Who Rode the Waves""",0.6848389664594136,0.755,-0.0702,0.6593567251461988,0.691,-0.0316,0.15520000457763672,-0.04,,682
Car-free cities,0.7233392680262316,0.796,-0.0727,0.5563524590163934,0.616,-0.0596,0.35899999737739563,-0.087,,973
Cell phones at school,0.7521120630364845,0.8,-0.0479,0.6650544135429263,0.717,-0.0519,0.32199999690055847,-0.021,,824
Community service,0.7655726024173568,0.8,-0.0344,0.6602067183462532,0.693,-0.0328,0.3199000060558319,-0.109,,773
Distance learning,0.7852746121232346,0.875,-0.0897,0.5614567526555387,0.697,-0.1355,0.13779999315738678,0.042,,656
Does the electoral college work?,0.8173704085135599,0.863,-0.0456,0.5350877192982456,0.649,-0.1139,0.335099995136261,-0.011,,228
Driverless cars,0.6600503328462413,0.774,-0.1139,0.582,0.621,-0.039,0.3084000051021576,0.215,,496
Exploring Venus,0.8148588645734222,0.856,-0.0411,0.588865096359743,0.677,-0.0881,0.2531000077724457,0.003,,923
Facial action coding system,0.8194407234919732,0.865,-0.0456,0.6052631578947368,0.696,-0.0907,0.25,-0.116,,1062
Grades for extracurricular activities,0.7358797016339985,0.779,-0.0431,0.6337854500616523,0.699,-0.0652,0.39089998602867126,-0.025,,808
Mandatory extracurricular activities,0.7822133633460926,0.815,-0.0328,0.6137184115523465,0.659,-0.0453,0.4009999930858612,0.163,,824
Phones and driving,0.7195821477388966,0.781,-0.0614,0.6252676659528907,0.683,-0.0577,0.26350000500679016,-0.066,,464
Seeking multiple opinions,0.6470588235294117,0.674,-0.0269,0.625,0.429,0.196,,-0.312,,7
Summer projects,0.717736954488503,0.813,-0.0953,0.5668571428571428,0.634,-0.0671,0.26109999418258667,-0.051,,872
The Face on Mars,0.7248222988319869,0.818,-0.0932,0.5798429319371727,0.658,-0.0782,0.10729999840259552,0.063,,764
OVERALL (macro avg),0.7433,0.864,-0.1207,0.6039,0.672,-0.0681,0.276,-0.01,0,10356
